move_id	command	hit_level	damage	startup	block	hit	counter
1703	b+1	M	11	14F			
1676	b+1+2	H	25	15~16F			
1705	b+1,2	M,H,TH	11,16(15)	20F			
1709	b+1+4	M	24	26~27F		+37	
1711	b+2	H	0	12F		+2	
1718	b+3	M	15	17F			
1719	b+3,1	M,M	15,25	25~26F		+21	
1720	b+4	H	17	18~19F		+13	
	Back throw	H	50	12~14F		-3	
1710	b,B+2+3	UB(M)	50	65~66F	=+2 (-8)	+2	
	CH.d+4	L,TH	12,18	16F		-3	TH
	CH.db+4	L,TH	20,4	20~21F		+49	
1732	d+1	L	7	16F			
1740	d+1,1	L,H	7,15	18F		+6	
1806	d+1+2	SM	21	19~21F		+17	
1755	d+2	M	21	18F			
1758	d+3	L	11	18~19F		-2	
1759	d+4	L	10	16F		-3	TH
1780	db+1	M	9	14~15F			
1783	db+1,1	M,M	9,9	21~22F		+2	
1792	db+3	H	20	19~20F		+40	
1794	db+4	L	17	20~21F		+4	
1767	df+1	M	10	13~14F			
1768	df+1,1	M,HH	10,7,7	20F		+7	
1770	df+2	M	14	15~16F		+31	
1771	df+3	M	10	16F			
1779	df+3+4	M	32	14~15F		+16	
1772	df+3,4	M,M	10,14	21F			
1773	df+3,4,2	M,M,SM	10,14,23	32~34F		+17	
1774	df+4	M	15	13~14F			
1778	df+4,2	M,H	15,16	22F		+4	
1696	f+1+2	M	35	24~25fF			
1679	f+2	H	10	13~14F			
1680	f+2,2	H,H	10,10	11F			
1685	f+2,2,1	H,H,M	10,10,12	13~14F			
1686	f+2,2,1,1	H,H,M,M	10,10,12,25	20~21F		+20	
1689	f+2,2,2	H,H,HMM	10,10,7,5,20	14F,12~13F,7~8F		+20	
	f+3	SP					
	f+3*	SP					
1699	f+4	M	15	14F			
1700	f+4,1	M,H	15,21	23~24F			
1701	f+4,2	M,M	15,20	26~27F		+5	
1731	FC.1+2	LH	10,10	16F,10~11F		+0	
1690	f,F+2	M	24	18~20F		+33	
1692	f,f,F+2	M	30	16~17F		+16	
2001	2+3	L	39	20F		TH	TH
	H.Lai.d+2	M	45	23~24F		+20	
	H.u+1+2	M	54	31~32F			
1613	Iai.1	M	9	13~14F			
1614	Iai.1,1	M,M	9,21	25~26F		+15	
1620	Iai.1,1+2	M,H	9,23	20~21F		+20	
1624	Iai.1+2	H	30	20~21F		+20	
1615	Iai.1,2	M,M	9,15	22~24F			
1619	Iai.1,2,2	M,M,M	9,15,16	23~24F		+8	
1621	Iai.2	M	23	16~17F		+15	
1628	Iai.4	L	17	18~19F			
	Iai.4*	M,TH(M)	13 (25)	17F		+25	
1633	Iai.4,2	L,H	17,25	26~27F		+26	
	Iai.b	SP					
	Iai.d	SP					
1649	Iai.d+1+2	LL	10,20	20~21F,14~15F		-3	
1642	Iai.d+2	M	31	23~24F		+0	
	Iai.f	SP					
	Iai.P.f	M	21	16~17F		+60	
	Left throw	H	40	12~14F		-2	
1655	PRF.1	L	17	19~20F		+4	
1660	PRF.1+2	M	25	25~27F		+14	
1662	PRF.2	M	9	12~13F		+1	
1663	PRF.2,2	M,M	9,13	13~14F		+1	
1668	PRF.2,2,1	M,M,H	9,13,20	12~13F		+12	
1672	PRF.2,2,1+2	M,M,M	9,13,31	12F		+7	
1674	PRF.3	M	21	15~17F			
1675	PRF.4	H	17	18~19F		+13	
	PRF.df	SP					
1694	d,df,f+2	H	16	22F		+4	
	R.df+1+2	M	55	20F		TH	TH
	Right throw	H	40	12~14F		-4	
1594	SS.1+2	M	25	18~19F		+15	
1746	u+1+2	M	40	31~32F			
	ub,b	SP					
1550	uf+1	M	9	13F			
1555	uf+1,1	M,M	9,21	25~26F		+15	
	uf+1+2	H	40	12~14F		-4	
1582	uf+2		15	19~20F		+7	
1508	uf+3	M	17	18~19F		+3	
1511	uf+4	M,SM	12,16	15~17F		+73	
1807	ws1	M	20	15~16F		+53	
1813	ws1+2	MM	10,17	13~14F,9~10F		+8	
1809	ws2	M	15	14~15F		+6	
1815	ws3	H	16	15~16F		+6	
1820	ws3,2	H,SM	16,23	30~32F		+17	
1532	1	H	5	10F			
1539	1,1	H,H	5,1	16F			
1541	1,1,2	H,H,HH	5,1,5,10	17~18F,9~10F		+3	
1590	1+2	M	17	15F		+2	
1546	1,2	H,H	5,12	10F		+8	
1547	1,2,1	H,H,M	5,12,20	26F~27F		+18	
	1+2+3+4	SP					
	1+3	H	35	12F~14F		-2	
1549	1,3	H,L	5,11	21F~22F		-1	
1557	2	H	10	12F~13F			
1561	2,1	H,H	10,12	16F		+5	
1559	2,2	H,MM	10,10,5	17F~18,7F			
1560	2,2,2	H,MM,H	10,10,5,12	22F		+4	
	2+3*	M	12	16F			
	2+3+4	SP					
	2+4	H	35	12F~14F		-4	
1596	3	H	11	12F~13F			
1598	3,1+2	H,HH	11,9,10	19~20F,8~9F		+5	
	3+4	SP					
	3+4*	SP					
1599	4	H	15	13F~14F			
1601	4,3	H,M	15,17	23~24F			
1605	4,3,2	H,M,M	15,17,25	25~26F		+34	
